Timestamp,Transaction Hash,Sender,Receiver,Amount,Memo
2024-10-31 00:14:42.509201,tx123hash,senderAddr,churchAddr,50,Tithe Contribution
2024-10-31 00:34:49.021000,tx123hash3,senderAddr3,churchAddr,100,Tithe Contribution
2024-10-31 00:35:41.545610,tx123hash4,senderAddr4,churchAddr,75,Ritual Offering
2024-10-31 01:12:22.102300,tx123hash5,senderAddr,churchAddr,25,Tithe Contribution
2024-10-31 01:44:17.998223,tx123hash6,senderAddr3,churchAddr,150,Special Donation
2024-10-31 02:10:12.504923,tx123hash7,senderAddr4,churchAddr,100,Special Donation
2024-10-31 02:32:53.123450,tx123hash8,senderAddr,churchAddr,200,Tithe Contribution
2024-10-31 02:55:45.999134,tx123hash9,senderAddr3,churchAddr,50,Special Donation
2024-11-01 08:22:10.109224,tx123hash10,senderAddr,churchAddr,75,Ritual Offering
2024-11-01 09:45:32.451901,tx123hash11,senderAddr3,churchAddr,200,Tithe Contribution
2024-11-01 10:12:44.889201,tx123hash12,senderAddr4,churchAddr,50,Ritual Offering
2024-11-01 11:34:21.102431,tx123hash13,senderAddr,churchAddr,100,Tithe Contribution
2024-11-02 12:10:15.132123,tx123hash14,senderAddr4,churchAddr,120,Special Donation
2024-11-02 12:45:36.512231,tx123hash15,senderAddr,churchAddr,150,Tithe Contribution
2024-11-02 13:22:11.531211,tx123hash16,senderAddr3,churchAddr,100,Special Donation
2024-11-02 14:22:33.111244,tx123hash17,senderAddr,churchAddr,180,Ritual Offering
2024-11-02 15:01:45.102420,tx123hash18,senderAddr4,churchAddr,90,Ritual Offering
2024-11-02 16:11:22.412222,tx123hash19,senderAddr3,churchAddr,200,Special Donation
2024-11-02 17:31:14.111234,tx123hash20,senderAddr,churchAddr,120,Tithe Contribution
2024-11-02 18:15:41.888223,tx123hash21,senderAddr3,churchAddr,60,Ritual Offering
